idProject,Category,Premier Delay,projectDuration,CLient,Date,paymentDone,ID_Phase,nb_phases
1,Banque,On time,22,Client Talys 13,2018-02-19 00:00:00,0,39,1
1,Banque,On time,22,Client Talys 13,2018-02-19 00:00:00,0,40,2
1,Banque,On time,22,Client Talys 13,2018-02-19 00:00:00,0,41,3
1,Banque,On time,22,Client Talys 13,2018-02-19 00:00:00,0,42,4
1,Banque,On time,22,Client Talys 13,2018-02-19 00:00:00,0,43,5
1,Banque,On time,22,Client Talys 13,2018-02-19 00:00:00,0,44,6
1,Banque,On time,22,Client Talys 13,2018-02-19 00:00:00,0,45,7
1,Banque,On time,22,Client Talys 13,2018-02-19 00:00:00,0,46,8
2,Assurance,Delayed,4,Client Talys 15,2018-02-19 00:00:00,0,1,7
2,Assurance,Delayed,4,Client Talys 15,2018-02-19 00:00:00,0,2,9
2,Assurance,Delayed,4,Client Talys 15,2018-02-19 00:00:00,0,3,11
2,Assurance,Delayed,4,Client Talys 15,2018-02-19 00:00:00,0,87,13
2,Assurance,Delayed,4,Client Talys 15,2018-02-19 00:00:00,0,179,15
4,IT,Delayed,31,Client Talys 7,2018-02-19 00:00:00,0,12,46
4,IT,Delayed,31,Client Talys 7,2018-02-19 00:00:00,0,13,50
4,IT,Delayed,31,Client Talys 7,2018-02-19 00:00:00,0,14,54
4,IT,Delayed,31,Client Talys 7,2018-02-19 00:00:00,0,15,58
4,IT,Delayed,31,Client Talys 7,2018-02-19 00:00:00,0,16,62
4,IT,Delayed,31,Client Talys 7,2018-02-19 00:00:00,0,113,66
4,IT,Delayed,31,Client Talys 7,2018-02-19 00:00:00,0,234,70
5,Banque,On time,36,Client Talys 6,2018-02-19 00:00:00,1,63,1
6,Banque,Delayed,12,Client Talys 11,2018-02-19 00:00:00,0,34,148
6,Banque,Delayed,12,Client Talys 11,2018-02-19 00:00:00,0,35,156
6,Banque,Delayed,12,Client Talys 11,2018-02-19 00:00:00,0,36,164
6,Banque,Delayed,12,Client Talys 11,2018-02-19 00:00:00,0,37,172
6,Banque,Delayed,12,Client Talys 11,2018-02-19 00:00:00,0,38,180
7,Assurance,Delayed,24,Client Talys 5,2018-02-19 00:00:00,0,17,341
7,Assurance,Delayed,24,Client Talys 5,2018-02-19 00:00:00,0,18,352
7,Assurance,Delayed,24,Client Talys 5,2018-02-19 00:00:00,0,19,363
7,Assurance,Delayed,24,Client Talys 5,2018-02-19 00:00:00,0,20,374
7,Assurance,Delayed,24,Client Talys 5,2018-02-19 00:00:00,0,21,385
7,Assurance,Delayed,24,Client Talys 5,2018-02-19 00:00:00,0,228,396
8,Banque,On time,36,Client Talys 4,2018-02-19 00:00:00,1,22,1
10,Assurance,Delayed,17,Client Talys 16,2018-02-19 00:00:00,1,23,7
10,Assurance,Delayed,17,Client Talys 16,2018-02-19 00:00:00,1,24,9
10,Assurance,Delayed,17,Client Talys 16,2018-02-19 00:00:00,1,25,11
10,Assurance,Delayed,17,Client Talys 16,2018-02-19 00:00:00,1,26,13
10,Assurance,Delayed,17,Client Talys 16,2018-02-19 00:00:00,1,27,15
11,Finance,Delayed,18,Client Talys 8,2018-02-19 00:00:00,0,130,1
11,Finance,Delayed,18,Client Talys 8,2018-02-19 00:00:00,0,131,2
11,Finance,Delayed,18,Client Talys 8,2018-02-19 00:00:00,0,132,3
11,Finance,Delayed,18,Client Talys 8,2018-02-19 00:00:00,0,133,4
13,IT,Delayed,23,Client Talys 1,2018-02-19 00:00:00,0,28,46
13,IT,Delayed,23,Client Talys 1,2018-02-19 00:00:00,0,29,50
13,IT,Delayed,23,Client Talys 1,2018-02-19 00:00:00,0,30,54
13,IT,Delayed,23,Client Talys 1,2018-02-19 00:00:00,0,31,58
13,IT,Delayed,23,Client Talys 1,2018-02-19 00:00:00,0,32,62
13,IT,Delayed,23,Client Talys 1,2018-02-19 00:00:00,0,33,66
13,IT,Delayed,23,Client Talys 1,2018-02-19 00:00:00,0,88,70
15,Finance,On time,7,Client Talys 10,2018-02-19 00:00:00,0,4,126
15,Finance,On time,7,Client Talys 10,2018-02-19 00:00:00,0,5,132
15,Finance,On time,7,Client Talys 10,2018-02-19 00:00:00,0,6,138
15,Finance,On time,7,Client Talys 10,2018-02-19 00:00:00,0,7,144
15,Finance,On time,7,Client Talys 10,2018-02-19 00:00:00,0,8,150
15,Finance,On time,7,Client Talys 10,2018-02-19 00:00:00,0,9,156
15,Finance,On time,7,Client Talys 10,2018-02-19 00:00:00,0,10,162
15,Finance,On time,7,Client Talys 10,2018-02-19 00:00:00,0,11,168
16,Finance,On time,11,Client Talys 3,2018-02-19 00:00:00,0,237,1
21,Banque,Delayed,17,Client Talys 2,2018-02-19 00:00:00,0,71,1
37,Finance,On time,18,Client Talys 17,2018-02-21 00:00:00,0,49,7
37,Finance,On time,18,Client Talys 17,2018-02-21 00:00:00,0,50,9
37,Finance,On time,18,Client Talys 17,2018-02-21 00:00:00,0,51,11
37,Finance,On time,18,Client Talys 17,2018-02-21 00:00:00,0,52,13
37,Finance,On time,18,Client Talys 17,2018-02-21 00:00:00,0,53,15
38,Assurance,On time,15,Client Talys 21,2018-02-21 00:00:00,1,47,1
38,Assurance,On time,15,Client Talys 21,2018-02-21 00:00:00,1,48,2
39,Assurance,On time,22,Client Talys 22,2018-02-22 00:00:00,0,60,5
39,Assurance,On time,22,Client Talys 22,2018-02-22 00:00:00,0,61,7
39,Assurance,On time,22,Client Talys 22,2018-02-22 00:00:00,0,62,9
43,Finance,Delayed,3,Client Talys 24,2018-02-27 00:00:00,1,78,204
43,Finance,Delayed,3,Client Talys 24,2018-02-27 00:00:00,1,79,212
43,Finance,Delayed,3,Client Talys 24,2018-02-27 00:00:00,1,80,220
43,Finance,Delayed,3,Client Talys 24,2018-02-27 00:00:00,1,81,228
43,Finance,Delayed,3,Client Talys 24,2018-02-27 00:00:00,1,82,236
43,Finance,Delayed,3,Client Talys 24,2018-02-27 00:00:00,1,122,244
43,Finance,Delayed,3,Client Talys 24,2018-02-27 00:00:00,1,238,252
44,Finance,On time,13,Client Talys 25,2018-02-27 00:00:00,1,83,1
45,Banque,Delayed,35,Client Talys 3,2018-03-06 00:00:00,1,89,58
45,Banque,Delayed,35,Client Talys 3,2018-03-06 00:00:00,1,90,62
45,Banque,Delayed,35,Client Talys 3,2018-03-06 00:00:00,1,91,66
45,Banque,Delayed,35,Client Talys 3,2018-03-06 00:00:00,1,92,70
45,Banque,Delayed,35,Client Talys 3,2018-03-06 00:00:00,1,93,74
45,Banque,Delayed,35,Client Talys 3,2018-03-06 00:00:00,1,94,78
45,Banque,Delayed,35,Client Talys 3,2018-03-06 00:00:00,1,95,82
45,Banque,Delayed,35,Client Talys 3,2018-03-06 00:00:00,1,96,86
45,Banque,Delayed,35,Client Talys 3,2018-03-06 00:00:00,1,145,90
46,Finance,Delayed,30,Client Talys 3,2018-03-06 00:00:00,1,97,34
46,Finance,Delayed,30,Client Talys 3,2018-03-06 00:00:00,1,98,38
46,Finance,Delayed,30,Client Talys 3,2018-03-06 00:00:00,1,99,42
46,Finance,Delayed,30,Client Talys 3,2018-03-06 00:00:00,1,100,46
46,Finance,Delayed,30,Client Talys 3,2018-03-06 00:00:00,1,101,50
